"Código NCM";"Descrição NCM";"Unidade estatística"
"87083900";"Outros freios e suas partes, para tratores/veículos automóveis";"NUMERO (UNIDADE)"
"87084010";"Caixas de marchas para ""dumpers""/tratores, exceto rodoviários";"NUMERO (UNIDADE)"
"87084011";"Servo-assistidas, próprias para torques de entrada superiores ou iguais a 750 Nm, de tratores/""dumpers""";"NUMERO (UNIDADE)"
"87084019";"Outras caixas de marchas para tratores ou ""dumpers""";"NUMERO (UNIDADE)"
"87084080";"Outras caixas de marchas";"NUMERO (UNIDADE)"
"87084090";"Partes de caixas de marchas";"NUMERO (UNIDADE)"
"87085010";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"NUMERO (UNIDADE)"
"87085011";"Eixos com diferencial com capacidade de suportar cargas superiores ou iguais a 14.000 kg, redutores planetários nos extremos e dispositivo de freio incorporado, do tipo dos utilizados em veículos da subposição 8704.10";"NUMERO (UNIDADE)"
"87085012";"Eixos e partes, exceto de transmissão, para tratores/""dumpers""";"NUMERO (UNIDADE)"
"87085019";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"NUMERO (UNIDADE)"
"87085080";"Eixos de transmissão com diferencial para veículos automóveis";"NUMERO (UNIDADE)"
"90183922";"Cateteres de poli(cloreto de vinila), para embolectomia arterial";"NUMERO (UNIDADE)"
"90183923";"Cateteres de poli(cloreto de vinila), para termodiluição";"NUMERO (UNIDADE)"
"90183924";"Cateteres intravenosos periféricos, de poliuretano ou de copolímero de etileno-tetrafluoretileno (ETFE)";"NUMERO (UNIDADE)"
"90183929";"Outras sondas, catéteres e cânulas";"NUMERO (UNIDADE)"
"29398090";"Outros alcalóides, naturais ou reproduzidos por síntese, seus sais, éteres, ésteres e outros derivados";"QUILOGRAMA LIQUIDO"
"48119019";"Outros papéis, cartões, pasta (ouate) de celulose e mantas de fibras de celulose, em tiras ou rolos de largura não superior a 15 cm ou em folhas em que nenhum lado exceda 360 mm, quando não dobradas";"QUILOGRAMA LIQUIDO"
"39172210";"Tubo rígido, de polímeros de propileno de seção transversal interna redonda de diâmetro inferior a 6 mm e externa hexagonal";"QUILOGRAMA LIQUIDO"
"85441911";"Fios de alumínio revestido de cobre (CCA -Copper Clad Aluminum) para bobinar, isolados para usos elétricos (incluindo os envernizados ou oxidados anodicamente)";"QUILOGRAMA LIQUIDO"
"38249961";"Contrastes para exames de diagnóstico por imagens de ressonância magnética ou de ecografia, à base de gadobenato de dimeglumina, de gadobutrol, de gadopentetato de dimeglumina, de gadoterato de meglumina, de gadoteridol ou de gadoxetato dissódico.";"QUILOGRAMA LIQUIDO"
"32071020";"Suspensão de pigmentos em solventes orgânicos, do tipo utilizado em impressoras de jato de tinta para decoração de superfícies cerâmicas por cozimento";"QUILOGRAMA LIQUIDO"
"39069059";"Outros polímeros acrílicos, em blocos irregulares, pedaços, pós, etc";"QUILOGRAMA LIQUIDO"
"73151110";"Correntes de rolos do tipo utilizado em bicicletas, com passo de 12,7 mm (1/2"") e largura interna igual ou superior a 1,98 mm (5/64""), mas inferior ou igual a 3,17 mm (1/8"")";"QUILOGRAMA LIQUIDO"
"73151190";"Outras correntes de rolos";"QUILOGRAMA LIQUIDO"
"32071030";"Outros pigmentos, opacificantes/cores, preparados e preparações à base de zircônio ou seus sais";"QUILOGRAMA LIQUIDO"
"39069051";"Poli(ácido acrílico) e seus sais, em blocos irregulares, pedaços, pós, etc";"QUILOGRAMA LIQUIDO"
"39069053";"Carboxipolimetileno, em pó";"QUILOGRAMA LIQUIDO"
"39069054";"Poli(acrilato de sódio), com capacidade de absorção de uma solução aquosa de cloreto de sódio 0,9 %, em peso, superior ou igual a vinte vezes seu próprio peso, em blocos irregulares, pedaços, pós, etc";"QUILOGRAMA LIQUIDO"
"39069069";"Outros copolímeros";"QUILOGRAMA LIQUIDO"
"03052010";"Ovas de tainhas (Mugil spp.) de peixes, secos, defumados, etc.";"QUILOGRAMA LIQUIDO"
"88069100";"Outros veículos aéreos (aeronaves) não tripulados, de peso máximo de decolagem não superior a 250 g";"NUMERO (UNIDADE)"
"44188200";"Madeira laminada (lamelada) cruzada (CLT ou X-lam)";"QUILOGRAMA LIQUIDO"
"39069064";"Copolímero de acrilato de potássio e ácido acrílico, com capacidade de absorção de água destilada de até quatrocentas vezes seu próprio peso";"QUILOGRAMA LIQUIDO"
"38273900";"Outras misturas que contenham hidroclorofluorcarbonetos (HCFC), mesmo que contenham perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC), não classificadas em códigos anteriores";"QUILOGRAMA LIQUIDO"
"76129020";"Recipientes (cápsulas) para embalagem de café e produtos semelhantes, do tipo utilizado em máquinas para preparação de bebidas";"QUILOGRAMA LIQUIDO"
"39072992";"Éter metalílico de poli(oxietileno) (HPEG)";"QUILOGRAMA LIQUIDO"
"74061020";"Pós de cobre, de estrutura não lamelar, com um teor, em peso, de estanho igual ou superior a 7,0 %, mas inferior ou igual a 9,0 % e de níquel igual ou superior a 0,7 %, mas inferior ou igual a 1,3 %, sem outros elementos";"QUILOGRAMA LIQUIDO"
"88061000";"Veículos aéreos (aeronaves) não tripulados, concebidos para o transporte de passageiros";"NUMERO (UNIDADE)"
"19012090";"Outras misturas e pastas para a preparação de produtos de padaria, pastelaria e da indústria de bolachas e biscoitos, da posição 19.05";"QUILOGRAMA LIQUIDO"
"19012020";"Massa para a preparação de pão, com adição de grãos ou sementes integrais, congelada";"QUILOGRAMA LIQUIDO"
"07129020";"Alho";"QUILOGRAMA LIQUIDO"
"29333500";"Quinuclidin-3-ol";"QUILOGRAMA LIQUIDO"
"28439040";"Tricloreto de rutênio, em pó";"QUILOGRAMA LIQUIDO"
"74061010";"Pós de cobre, de estrutura não lamelar, com um teor, em peso, de chumbo igual ou superior a 9,5 %, mas inferior ou igual a 25,0 % e de estanho igual ou superior a 1,75 %, mas inferior ou igual a 11,0 %, sem outros elementos";"QUILOGRAMA LIQUIDO"
"73063010";"Outros tubos soldados, de seção circular, de ferro ou aço não ligado, de diâmetro exterior igual a 22,25 mm, espessura igual a 2,64 mm e comprimento igual a 448,2 mm";"QUILOGRAMA LIQUIDO"
"81093900";"Outros desperdícios e resíduos, e sucata, de zircônio, não classificados em códigos anteriores";"QUILOGRAMA LIQUIDO"
"59112090";"Gazes e telas para peneirar, mesmo confeccionadas, de outras matérias têxteis";"QUILOGRAMA LIQUIDO"
"59113100";"Tecidos e feltros, sem fim ou com dispositivos de união, dos tipos utilizados nas máquinas para fabricação de papel ou máquinas semelhantes (para obtenção de pasta de papel ou fibrocimento, por exemplo), de peso inferior a 650 g/m2";"QUILOGRAMA LIQUIDO"
"59113200";"Tecidos e feltros, sem fim ou com dispositivos de união, dos tipos utilizados nas máquinas para fabricação de papel ou máquinas semelhantes (para obtenção de pasta de papel ou fibrocimento, por exemplo), de peso igual ou superior a 650 g/m2";"QUILOGRAMA LIQUIDO"
"59114000";"Tecidos filtrantes e tecidos espessos, compreendendo os de cabelo, dos tipos usados em prensas de óleo ou outros usos técnicos análogos";"QUILOGRAMA LIQUIDO"
"51121100";"Tecidos de lã penteada ou de pelos finos penteados, que contenham pelo menos 85 %, em peso, de lã ou de pelos finos, de peso não superior a 200 g/m2";"QUILOGRAMA LIQUIDO"
"51121910";"Outros tecidos de lã penteada, que contenham pelo menos 85 %, em peso, de lã";"QUILOGRAMA LIQUIDO"
"48236000";"Bandejas, travessas, pratos, xícaras, etc,de papel/cartão";"QUILOGRAMA LIQUIDO"
"48236100";"Bandejas, travessas, pratos, xícaras (chávenas), taças, copos e artigos semelhantes, de bambu";"QUILOGRAMA LIQUIDO"
"48236900";"Bandejas, travessas, pratos, xícaras (chávenas), taças, copos e artigos semelhantes, de papel ou cartão";"QUILOGRAMA LIQUIDO"
"48237000";"Artigos moldados ou prensados, de pasta de papel";"QUILOGRAMA LIQUIDO"
"48239010";"Cartões perfurados para mecanismos Jacquard";"QUILOGRAMA LIQUIDO"
"48239020";"Papel e cartão, de rigidez dielétrica superior ou igual a 600 V (método ASTM D 202 ou equivalente) e de peso inferior ou igual a 60 g/m2";"QUILOGRAMA LIQUIDO"
"48239090";"Outros papéis/cartões/pastas/etc, cortados, e suas obras";"QUILOGRAMA LIQUIDO"
"48239091";"Outros papéis, etc, de celulose, rolos 15 cm < largura <= 36 cm";"QUILOGRAMA LIQUIDO"
"48239099";"Outros papéis, cartões de celulose e outras obras de papel";"QUILOGRAMA LIQUIDO"
"59112010";"Gazes e telas para peneirar, mesmo confeccionadas, de matéria têxtil sintética ou artificial, em peça";"QUILOGRAMA LIQUIDO"
"87112090";"Outros ciclos com motor a pistão alternativo, 50 cm3 < cilindrada <= 250 cm3";"NUMERO (UNIDADE)"
"87113000";"Motocicletas, etc, com motor a pistão alternativo, 250 < cilindrada <= 500 cm3";"NUMERO (UNIDADE)"
"87114000";"Motocicletas, etc, com motor a pistão alternativo, 500 < cilindrada <= 800 cm3";"NUMERO (UNIDADE)"
"87115000";"Motocicletas, etc, com motor a pistão alternativo, cilindrada > 800 cm3";"NUMERO (UNIDADE)"
"87119000";"Outras motocicletas/ciclos, com motor auxiliar, carros laterais";"NUMERO (UNIDADE)"
"87120010";"Bicicletas sem motor";"NUMERO (UNIDADE)"
"87120090";"Outros ciclos sem motor, inclusive triciclos";"NUMERO (UNIDADE)"
"87131000";"Cadeiras de rodas, etc, sem mecanismo de propulsão";"NUMERO (UNIDADE)"
"87139000";"Outras cadeiras de rodas e outras veículos para inválidos";"NUMERO (UNIDADE)"
"87141000";"Partes e acessórios de motocicletas (inclusive ciclomotores)";"QUILOGRAMA LIQUIDO"
"87141100";"Selins para motocicletas, inclusive ciclomotores";"QUILOGRAMA LIQUIDO"
"87141900";"Outras partes e acessórios para motocicletas, inclusive ciclomotores";"QUILOGRAMA LIQUIDO"
"87142000";"Partes e acessórios para cadeiras de rodas/outros veículos para inválidos";"QUILOGRAMA LIQUIDO"
"85334019";"Outras resistências elétricas variáveis, não lineares semicondutoras";"NUMERO (UNIDADE)"
"85334091";"Potenciômetro de carvão, do tipo dos utilizados para determinar o ângulo de abertura da borboleta, em sistemas de injeção de combustível controlados eletronicamente";"NUMERO (UNIDADE)"
"85334092";"Outros potenciômetros de carvão";"NUMERO (UNIDADE)"
"85334099";"Outras resistências elétricas variaveis";"NUMERO (UNIDADE)"
"85339000";"Partes de resistências elétricas";"QUILOGRAMA LIQUIDO"
"85340000";"Circuito impresso";"NUMERO (UNIDADE)"
"85340011";"Circuitos impressos, simples face, rígidos, com isolante de resina fenólica e papel celulósico";"NUMERO (UNIDADE)"
"85340012";"Circuitos impressos, simples face, rígidos, com isolante de resina epóxida e papel celulósico";"NUMERO (UNIDADE)"
"85340013";"Circuitos impressos, simples face, rígidos, com isolante de resina epóxida e tecido de fibra de vidro";"NUMERO (UNIDADE)"
"85340019";"Outros circuitos impressos, simples face, rígidos";"NUMERO (UNIDADE)"
"85340020";"Circuitos impressos, simples face, flexíveis";"NUMERO (UNIDADE)"
"85340031";"Circuitos impressos, dupla face, rígidos, com isolante de resina fenólica e papel celulósico";"NUMERO (UNIDADE)"
"85340032";"Circuitos impressos, dupla face, rígidos, com isolante de resina epóxida e papel celulósico";"NUMERO (UNIDADE)"
"85340033";"Circuitos impressos, dupla face, rígidos, com isolante de resina epóxida e tecido de fibra de vidro";"NUMERO (UNIDADE)"
"85340039";"Outros circuitos impressos, dupla face, rígidos";"NUMERO (UNIDADE)"
"85340040";"Circuitos impressos, dupla face, flexíveis";"NUMERO (UNIDADE)"
"85340051";"Circuitos impressos multicamadas, com isolante de resina epóxida e tecido de fibra de vidro";"NUMERO (UNIDADE)"
"85446000";"Outros condutores elétricos para tensão > 1000 v";"QUILOGRAMA LIQUIDO"
"85447010";"Cabos de fibras ópticas revestimento externo de material dielétrico";"QUILOGRAMA LIQUIDO"
"85447020";"Cabos de fibras ópticas revestimento externo de aço para instalação submarina";"QUILOGRAMA LIQUIDO"
"85447030";"Cabos de fibras ópticas revestimento externo de alumínio";"QUILOGRAMA LIQUIDO"
"85447090";"Outros cabos de fibras ópticas";"QUILOGRAMA LIQUIDO"
"85451100";"Eletrodos de carvão, dos tipos utilizados em fornos";"QUILOGRAMA LIQUIDO"
"85451910";"Eletrodos de grafita, com teor de carbono superior ou igual a 99,9 %, em peso";"QUILOGRAMA LIQUIDO"
"85371011";"Comando numérico computadorizado (CNC),com processador e barramento >= 32 bits,incorporando recursos gráficos e execução de macros,resolução <= 1 micrômetro e capacidade de conexão digital para servo-acionamento, com monitor policromático,tensão < 1.000 V";"QUILOGRAMA LIQUIDO"
